,a,and,at,but,by,down,eyes,for,from,had,his,i,in,into,is,it,me,my,no,not,of,so,some,that,the,their,there,they,to,upon,was,were,when,which,who,with,yet
Total,0.5412,0.8084,0.1484,0.1883,0.1033,0.04,0.0351,0.164,0.1448,0.1417,0.1865,0.4506,0.4406,0.0574,0.1286,0.2423,0.0777,0.1336,0.0787,0.1392,0.9471,0.0667,0.0583,0.2052,1.8343,0.0665,0.1019,0.0728,0.4544,0.1248,0.2783,0.1009,0.0586,0.1243,0.0507,0.174,0.0312
Average,0.0601,0.0898,0.0165,0.0209,0.0115,0.0044,0.0039,0.0182,0.0161,0.0157,0.0207,0.0501,0.049,0.0064,0.0143,0.0269,0.0086,0.0148,0.0087,0.0155,0.1052,0.0074,0.0065,0.0228,0.2038,0.0074,0.0113,0.0081,0.0505,0.0139,0.0309,0.0112,0.0065,0.0138,0.0056,0.0193,0.0035
UNKNOWN_ADream_1831,0.0559,0.0519,0.012,0.014,0.006,0.002,0.004,0.024,0.014,0.0279,0.016,0.0918,0.0519,0.006,0.002,0.024,0.018,0.014,0.002,0.01,0.1218,0.002,0.004,0.022,0.2595,0.002,0.008,0.006,0.0379,0.002,0.0399,0.004,0.002,0.018,0.004,0.018,0.002
Poe_CaskOfAmontillado_1846_1,0.0579,0.0735,0.0134,0.02,0.0067,0.0022,0.0045,0.0156,0.0178,0.0245,0.0245,0.118,0.029,0.0067,0.0334,0.0379,0.0178,0.0468,0.0134,0.0245,0.0579,0.0045,0.0022,0.0267,0.1336,0.0067,0.0045,0.0045,0.0668,0.0156,0.0356,0.0089,0.0067,0.0089,0.0045,0.0223,0.0022
Poe_CaskOfAmontillado_1846_2,0.0798,0.0573,0.0184,0.0184,0.0082,0.0041,0.002,0.0164,0.0204,0.0204,0.0123,0.1186,0.0429,0.0041,0.0102,0.0389,0.0061,0.0286,0.0102,0.0204,0.1002,0.002,0.002,0.0102,0.2188,0.002,0.0102,0.002,0.0389,0.0143,0.0225,0.0041,0.0041,0.0082,0.002,0.0184,0.002
Melville_MobyDick_1,0.0664,0.0841,0.0181,0.0244,0.0143,0.005,0.0017,0.0221,0.0144,0.0107,0.035,0.0328,0.0556,0.0061,0.0207,0.0301,0.0107,0.0089,0.0082,0.0164,0.0911,0.0132,0.0083,0.0399,0.1803,0.0075,0.0118,0.0087,0.0627,0.0079,0.0234,0.0092,0.0079,0.0082,0.0057,0.0233,0.005
Melville_MobyDick_2,0.0589,0.0878,0.0173,0.0248,0.0176,0.0049,0.0025,0.0212,0.0148,0.0102,0.0329,0.0209,0.0552,0.008,0.0253,0.0351,0.0064,0.0071,0.0077,0.0146,0.0843,0.0155,0.0083,0.0404,0.2057,0.0089,0.0097,0.0088,0.0601,0.0073,0.0209,0.0092,0.0085,0.0088,0.0035,0.0227,0.0043
Melville_Omoo_1847_1,0.0755,0.0876,0.022,0.0159,0.0182,0.0048,0.0012,0.0223,0.0135,0.0175,0.0274,0.0161,0.0512,0.0063,0.0105,0.0232,0.0054,0.0072,0.0108,0.0087,0.0884,0.0103,0.0078,0.022,0.1968,0.0088,0.0089,0.0145,0.0703,0.01,0.0492,0.0204,0.006,0.0097,0.0065,0.0243,0.0009
Melville_Omoo_1847_2,0.0836,0.087,0.0201,0.017,0.0187,0.0034,0.0012,0.0198,0.0139,0.0123,0.0204,0.0164,0.0556,0.0068,0.013,0.0217,0.0043,0.0075,0.0084,0.0085,0.1018,0.0103,0.0075,0.0169,0.1984,0.0126,0.0083,0.0148,0.0681,0.0135,0.0372,0.018,0.0053,0.0128,0.0063,0.027,0.0012
Poe_ShadowAParable_1835_1,0.0409,0.1364,0.0136,0.0136,0.0091,0.0045,0.0045,0.0136,0.0136,0.0136,0.0091,0.0136,0.05,0.0045,0.0091,0.0136,0.0045,0.0045,0.0136,0.0182,0.1364,0.0045,0.0136,0.0182,0.2,0.0045,0.0227,0.0091,0.0273,0.0318,0.0273,0.0182,0.0136,0.0364,0.0136,0.0091,0.0091
Poe_ShadowAParable_1835_2,0.0223,0.1429,0.0134,0.0402,0.0045,0.0089,0.0134,0.0089,0.0223,0.0045,0.0089,0.0223,0.0491,0.0089,0.0045,0.0179,0.0045,0.0089,0.0045,0.0179,0.1652,0.0045,0.0045,0.0089,0.2411,0.0134,0.0179,0.0045,0.0223,0.0223,0.0223,0.0089,0.0045,0.0134,0.0045,0.0089,0.0045
